Step Population Tecnology ResourceFoodProductivity FoodProduction FoodRate
1 50 0.0 0.015628330100211658 75.0 1.5
2 50 0.0 0.015628330100211658 75.0 1.5
3 51 0.0 0.015628330100211658 75.0 1.5
4 51 0.0 0.015628330100211658 75.0 1.4705882352941178
5 51 0.0 0.015628330100211658 75.0 1.4705882352941178
6 51 0.0 0.015628330100211658 75.0 1.4705882352941178
7 51 0.0 0.015628330100211658 75.0 1.4705882352941178
8 51 0.0 0.015628330100211658 75.0 1.4705882352941178
9 51 0.0 0.021927953028540167 75.0 1.4705882352941178
10 51 0.0 0.021927953028540167 75.0 1.4705882352941178
11 51 0.0 0.021927953028540167 75.0 1.4705882352941178
12 51 0.0 0.021927953028540167 75.0 1.4705882352941178
13 51 0.0 0.021927953028540167 75.0 1.4705882352941178
14 53 0.0 0.021927953028540167 75.0 1.4705882352941178
15 53 0.0 0.021927953028540167 75.0 1.4150943396226414
16 54 0.0 0.021927953028540167 75.0 1.4150943396226414
17 54 0.0 0.021927953028540167 75.0 1.3888888888888888
18 54 0.0 0.021927953028540167 75.0 1.3888888888888888
19 54 0.0 0.019842335546352313 75.0 1.3888888888888888
20 54 0.0 0.01602260376391041 75.0 1.3888888888888888
21 54 0.0 0.01602260376391041 75.0 1.3888888888888888
22 57 0.0 0.01602260376391041 75.0 1.3888888888888888
23 57 0.0 0.01602260376391041 80.11301881955205 1.4054915582377554
24 62 0.0 0.01602260376391041 80.11301881955205 1.4054915582377554
25 62 0.0 0.01602260376391041 80.11301881955205 1.2921454648314847
26 62 0.0 0.01602260376391041 80.11301881955205 1.2921454648314847
27 65 0.0 0.01602260376391041 80.11301881955205 1.2921454648314847
28 68 0.0 0.01602260376391041 80.11301881955205 1.2325079818392624
29 68 0.0 0.01602260376391041 80.11301881955205 1.1781326296992949
30 68 0.0 0.020830168211042128 80.11301881955205 1.1781326296992949
31 71 0.0 0.020304107807694927 100.0 1.4705882352941178
32 71 0.0 0.01923270404935676 101.52053903847464 1.4298667470207695
33 71 0.0 0.01923270404935676 96.1635202467838 1.3544157781237156
34 71 0.0 0.01923270404935676 96.1635202467838 1.3544157781237156
35 74 0.0 0.01923270404935676 96.1635202467838 1.3544157781237156
36 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
37 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
38 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
39 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
40 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
41 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
42 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
43 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
44 74 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
45 76 0.0 0.01923270404935676 96.1635202467838 1.2995070303619434
46 76 0.0 0.01923270404935676 96.1635202467838 1.2653094769313658
47 84 0.0 0.01923270404935676 96.1635202467838 1.2653094769313658
48 91 0.0 0.01923270404935676 96.1635202467838 1.144803812461712
49 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
50 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
51 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
52 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
53 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
54 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
55 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
56 91 0.0 0.01923270404935676 96.1635202467838 1.056741980733888
57 91 0.0 0.021488176668386927 96.1635202467838 1.056741980733888
58 93 0.0 0.021488176668386927 107.44088334193464 1.1806690477135675
59 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
60 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
61 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
62 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
63 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
64 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
65 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
66 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
67 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
68 93 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
69 95 0.0 0.021488176668386927 107.44088334193464 1.1552783155046735
70 95 0.0 0.01791307592346957 107.44088334193464 1.1309566667572066
71 95 0.0 0.01791307592346957 89.56537961734784 0.9427934696562931
72 95 0.0 0.01791307592346957 89.56537961734784 0.9427934696562931
73 95 0.0 0.01791307592346957 89.56537961734784 0.9427934696562931
74 95 0.0 0.01791307592346957 89.56537961734784 0.9427934696562931
75 95 0.0 0.01791307592346957 89.56537961734784 0.9427934696562931
76 95 0.0 0.016249716162498398 89.56537961734784 0.9427934696562931
77 95 0.0 0.016249716162498398 81.248580812492 0.8552482190788631
78 95 0.0 0.016249716162498398 81.248580812492 0.8552482190788631
79 95 0.0 0.016249716162498398 81.248580812492 0.8552482190788631
80 95 0.0 0.016249716162498398 81.248580812492 0.8552482190788631
81 13 0.0 0.016249716162498398 81.248580812492 0.8552482190788631
82 13 0.0 0.016249716162498398 25.0 1.9230769230769231
83 13 0.0 0.016249716162498398 25.0 1.9230769230769231
84 14 0.0 0.016249716162498398 25.0 1.9230769230769231
85 15 0.0 0.016249716162498398 25.0 1.7857142857142858
